name,latitude,longitude,category,description
Tokyo Style Noodle ほたて日和,35.69854449,139.7771574,1,ほたてを使った端麗つけ麺のお店 予約(記帳)必須
 武将家 外伝,35.69996523,139.7752785,1,出汁感強めでこってりな家系 スモークチャーシューがうれしい
中華そば 糸,35.70001065,139.7752011,1,優しい味で塩分控えめの中華そば 具材のレンコンがおいしい
新福菜館 秋葉原店,35.70004114,139.7763544,1,ネギとチャーシューがたっぷり乗った黒いスープの醤油ラーメン 本店は京都
スパイス・ラー麺 卍力 秋葉原店,35.70114322,139.7758931,1,スパイスが魅力の個性的なラーメン パクチーかネギか選べる
粋な一生,35.70160484,139.7767541,1,シンプルながらクオリティの高いラーメン 醤油、塩、味噌と網羅している
らーめん忍者,35.7002806,139.7752574,1,二郎系ラーメン カレーマヨや辛揚げなどジャンクなトッピングがある
超ごってり麺 ごっつ 秋葉原店,35.70054198,139.7752735,1,もやしたっぷりの背脂チャッチャ系ラーメン 醤油、味噌がある 店主はなりたけ出身
麺処 ほん田 秋葉原本店,35.6982026,139.7742918,1,有名な行列店 トップクラスの醤油/塩ラーメンが味わえる
饗 くろ㐂,35.69800656,139.785423,1,有名な行列店 元々会社の近くにあったけど移転しちゃった……
麺屋まぜはる,35.69794121,139.7808632,1,台湾まぜそばをメインに様々な混ぜそばを提供
ラーメンイエロー 御徒町店,35.70270269,139.7765341,1,二郎系ラーメン カエシの切れがよく、チャーシュー、アブラも美味しい
JAPANESE FISH NOODLE ウミのチカラ,35.70234671,139.7773576,1,真鯛ラーメンがメインの店 本日の漬け丼など、海鮮系のミニ丼も豊富
らーめん天神下 大喜,35.70254151,139.7787443,1,鶏そばが有名な人気店 古くから根強いファンがいる
ヌードルボウズ n坊,35.69867745,139.7849134,1,酸味が個性的なラーメン店 限定の煮干しや烏賊のラーメンも美味しい
ろく月,35.69889092,139.7852996,1,豚白湯ラーメンがメインの店 化調不使用とは思えないうま味がある
らーめん 福籠,35.69684773,139.7865978,1,札幌の名店すみれ出身の店主が作る純すみ系味噌ラーメン
富白,35.70422966,139.7765583,1,タンメンのお店 ワシワシの麺とシャキシャキの野菜が合う
王道家直系 IEKEI TOKYO,35.70437777,139.7724009,1,王道家直系の濃厚家系ラーメン うま味と塩味が強い
武将家,35.70003461,139.7719878,1,外伝と違い乳化したスープ まろやかな家系
ラーメン大至,35.70303172,139.7663122,1,"シンプルでハイクオリティな""普通のラーメン""を提供 個性的な限定ラーメンもやっている"
田中そば店 秋葉原店,35.70242389,139.7706601,1,有名な行列店 喜多方ラーメンが元になったじんわり来る豚清湯ラーメン
秋葉原ラーメン わいず,35.70281595,139.7705421,1,家系ライクな濃厚豚骨醤油ラーメン 豚骨のうま味が強い粘度のあるスープ
麺巧 潮,35.69637954,139.7677553,1,ポタージュのような濃厚な鶏白湯ラーメンが人気
福の軒 秋葉原店,35.69775389,139.775075,1,リーズナブルな博多豚骨ラーメン 580円から
無銘,35.69463023,139.7724304,1,"暖簾に""麺""とだけ書かれたラーメン屋 重すぎないベジポタ系どろどろスープ"
雲林坊 秋葉原店,35.6954972,139.7727576,1,本格中華料理店がやっている担々麺のお店 辛さとしびれが本場
中華そば たた味,35.69155669,139.779616,1,多化調を自称するスタミナ系中華そば 特製にすると牛ホルモンが乗る
ラーメンモンタナ 秋葉原店,35.69915897,139.7752279,1,ライトな家系ラーメン インパクトは強くないが食べやすい 2024年オープン
青島食堂 秋葉原店,35.69745773,139.7788281,1,新潟の長岡生姜ラーメンが味わえる行列店
